task_id,prompt,input_generator,input_levels,reference_solution,checker,entry_point
HumanEval/0,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""","def generate_input(size: int, lid: int, cid: int):
    threshold = random.uniform(0.1, 0.5)
    if lid == 0 and cid == 0:
        return [], threshold
    size = max(size, 2)
    gaps = [threshold * random.uniform(1.1, 1.2) for i in range(size - 1)]
    if lid == 0 and cid % 2 != 0:
        gaps[random.randint(0, size - 2)] = threshold * random.uniform(0.8, 0.9)
    numbers = [None for i in range(size)]
    numbers[0] = random.uniform(-size, size)
    for i in range(size - 1):
        numbers[i + 1] = numbers[i] + gaps[i]
    random.shuffle(numbers)
    return numbers, threshold
",20 100 10000 15000,"    numbers.sort()
    prev = float('-inf')
    for numbers in numbers:
        if numbers - prev < threshold:
            return True
        prev = numbers
    return False
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",has_close_elements
HumanEval/1,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""","def generate_input(size: int, lid: int, cid: int):
    if lid > 0 and cid == 0:
        m = (size + 1) // 2
        input_string = '(' * m + ')' * m
    else:
        input_string = rand_parens(size = size)
    input_string = ' ' * random.randint(0, 2) + ''.join([c + ' ' * random.randint(0, 2) for c in input_string])
    return input_string,
",100 1000 10000 15000,"    paren_string = paren_string.replace(' ', '')
    res = []
    j = 0
    dep = 0
    for i in range(len(paren_string)):
        if paren_string[i] == '(':
            dep += 1
        else:
            dep -= 1
            if dep == 0:
                i += 1
                res.append(paren_string[j : i])
                j = i
    return res
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",separate_paren_groups
HumanEval/2,"def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    random_number = random.uniform(1., float(size))
    return random_number,
",100 10000 1000000 100000000,"    return number % 1.0
","def __check(input, answer, output):
    return type(output) in (int, float) and abs(answer - output) < 1e-4
",truncate_number
HumanEval/3,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""","def generate_input(size: int, lid: int, cid: int):
    maxv = size * size
    balances = [random.randint(1, maxv) for _ in range(size)]
    balances[random.randint((size - 1) // 2, size - 1)] = 0
    if lid == 0 and cid % 2 == 0:
        balances[random.randint((size - 1) // 2, size - 1)] = random.randint(-5, -1)
    operations = [balances[i] - (balances[i - 1] if i else 0) for i in range(size)]
    return operations,
",100 10000 15000 30000,"    b = 0
    for op in operations:
        b += op
        if b < 0:
            return True
    return False
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",below_zero
HumanEval/4,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    return [random.uniform(-100., 100.) for _ in range(size)],
",100 10000 15000 30000,"    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","def __check(input, answer, output):
    return type(output) in (int, float) and abs(answer - output) < 1e-4
",mean_absolute_deviation
HumanEval/5,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    if lid == 0 and cid == 0:
        numbers = []
    else:
        numbers = [random.randint(-size * size, size * size) for _ in range(size)]
    delimeter = random.randint(-size * size, size * size)
    return numbers, delimeter
",50 50 1000 20000,"    result = [delimeter] * (len(numbers) * 2 - 1) # doesn't matter even when empty
    result[0::2] = numbers
    return result
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",intersperse
HumanEval/6,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""","def generate_input(size: int, lid: int, cid: int):
    input_string = rand_parens(size = size, sep = ' ')
    return input_string,
",100 10000 15000 30000,"    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                if depth > max_depth:
                    max_depth = depth
            else:
                depth -= 1
        return max_depth
    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",parse_nested_parens
HumanEval/7,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    import string
    if lid == 0 and cid < 3:
        return [([], 'a'), (['abc', 'barcd', 'cde', 'array'], 'ra'), (['abc', 'bacd', 'cde', 'arrby'], 'b')][cid]
    size = max(size, 4)
    m = size // 2
    a = random.choice(string.ascii_lowercase)
    b = random.choice(list(set(string.ascii_lowercase) - {a}))
    substring = a * (m // 2) + b + a * (m // 2)
    input_strings = []
    for i in range(2):
        random_string = a * m + b * random.randint(1, 2) + a * m
        input_strings.append(random_string)
    return input_strings, substring
",100 1000 10000 15000,"    return [strings for strings in strings if strings.find(substring) >= 0]
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",filter_by_substring
HumanEval/8,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""","def generate_input(size: int, lid: int, cid: int):
    if lid == 0 and cid == 0:
        return [],
    input_numbers = [random.randint(1, 3) for _ in range(size)]
    return input_numbers,
",100 10000 15000 30000,"    p = 1
    for n in numbers:
        p *= n
    return sum(numbers), p
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",sum_product
HumanEval/9,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    maxv = size * size
    input_numbers = [-random.randint(maxv // 2, maxv)]
    for i in range(size - 1):
        number = input_numbers[-1] + random.randint(-size, size)
        input_numbers.append(number)
    return input_numbers,
",20 100 10000 20000,"    result = []
    max_value = float('-inf')
    for number in numbers:
        if number > max_value:
            max_value = number
        result.append(max_value)
    return result
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",rolling_max
